ec50UM,ic50UM,aMax,actArea
0.06606577,0.07478773,-77.578033,3.9975
0.08537858,0.10027902,-88.535095,3.5752
6.95952805,0.02921496,-76.44178,4.2844
0.01835713,0.02356661,-96.497353,4.9275
0.12657484,0.2111899,-89.153511,3.237
0.15910636,0.18774821,-88.510132,3.3499
0.01163225,8,-88.158577,6.6567
5.11792851,1.67544615,-82.477684,2.1649
4.60025024,8,-33.23505,0.4612
0.01837355,0.01931586,-86.468941,3.9631
0.44137219,0.34519336,-96.978577,2.6233
0.01063237,0.00394157,-78.858177,5.0367
0.04107976,0.04865721,-95.046577,3.7608
0.09850354,0.11716542,-84.055038,3.3561
0.26512805,0.22110626,-98.245316,2.732
1.81682742,2.15144301,-82.094368,1.7314
8.41206518,8,-46.559124,0.2344
8.46376327,8,-31.728937,0.3815
9.53291332,8,-18.151745,0.1943
3.54576254,6.56705523,-54.130085,0.415
7.9048872,8,-47.664074,0.3605
0.30504522,0.38305587,-77.222847,2.6725
0.12206876,0.12415128,-97.492378,3.8142
5.59118434,0.00524993,-97.159203,6.2674
0.05821462,0.06078333,-97.303635,4.3584
1.49516201,2.20389462,-72.149574,1.4665
0.19976479,0.19052872,-100.811569,3.9431
4.18864536,3.73873973,-75.735565,1.1542
8.73922195,8,-32.000252,0.4272
1.67977679,2.03907323,-66.475517,1.2479
0.1401514,0.24393393,-65.804131,2.3948
0.0322053,0.04572786,-96.669006,4.2588
0.06221874,0.065744,-88.025841,4.0031
8.69946514,8,-46.797489,0.3478
0.3162823,0.26327509,-82.641907,3.4189
0.13543682,0.27403277,-99.78611,3.4061
0.03872041,0.03814609,-96.820541,4.7212
0.24698904,0.31598589,-76.742569,2.4283
0.4308196,0.76331002,-79.469604,2.3861
0.46544448,0.80981606,-72.502815,3.0622
2.22918773,2.14705181,-92.68708,2.7288
0.02266363,0.03627276,-52.209965,4.0307
0.1210115,0.12774982,-97.225876,3.5077
8.73932651,4.03542662,-61.252098,1.8601
8.61010051,3.60817242,-81.488609,2.0667
0.08442736,0.0874675,-85.803894,4.2666
0.20539172,0.20357987,-90.084442,3.8206
5.52401579,0.0033895,-93.959778,6.6468
0.07212783,0.09746029,-93.672142,4.0263
2.28284288,2.44592929,-80.504334,1.8908
0.19814904,0.19302695,-92.591003,4.0447
2.74007678,8,-23.866335,0.3303
0.04016676,0.03461671,-95.85878,5.1812
0.07845023,0.07653105,-90.873474,4.4324
0.2259322,0.242928,-91.343475,3.4461
0.00346933,0.003054,-95.175789,6.7285
0.02020832,0.02433141,-95.780869,5.0969
0.08294661,0.08647351,-96.441299,4.4021
2.18734884,2.35833573,-97.315857,1.5507
1.34600353,1.41537094,-96.833,2.1155
3.4515729,8,-39.462856,0.9109
5.47492743,5.75964499,-79.044395,0.9072
8.01738243,4.99233437,-88.261162,1.1019
0.33035806,0.35054246,-88.810478,3.0955
0.00976834,0.01217702,-84.979317,5.4258
0.13535059,0.17070998,-92.730843,3.463
0.15692858,0.17255028,-90.548698,3.692
2.41841006,8,-31.667274,0.6572
1.53448665,8,-14.772494,0.23
0.06873211,0.07451365,-79.521072,3.9523
0.01153036,0.0178099,-61.528957,4.1517
0.02735901,0.02908108,-97.570366,5.0321
8.13875421,4.54653597,-83.976242,1.3627
1.09764159,1.01571441,-89.839088,2.8467
5.04860306,8,-23.578896,0.4085
0.04338365,0.10320146,-88.72467,4.0282
7.27764864,0.12907542,-77.674942,2.8683
0.01001052,0.00552548,-103.784554,6.4203
0.03299244,0.04008104,-104.867188,4.4379
8.02294947,1.58294487,-86.741325,1.5784
0.34073672,0.33796808,-101.315857,3.6344
8.49853273,2.59104824,-71.375999,1.4669
0.07718099,0.07252492,-89.011139,4.7553
8.14894805,2.82164621,-95.556526,1.7103
0.87017173,0.98723966,-91.840721,2.0088
0.15050966,0.16377933,-99.076035,3.5976
0.0412278,0.04668178,-88.560837,4.4105
0.59539145,0.66357476,-95.061493,2.4115
0.05304247,0.06164942,-96.755768,4.3885
4.38317871,4.23478556,-83.734779,0.9076
0.68304074,0.73856801,-89.064034,2.2101
1.17311037,1.36667681,-79.395081,1.9739
0.18103825,0.18791845,-94.453217,3.5768
0.00473395,0.00424515,-98.103462,6.8648
0.04702234,0.04832795,-95.133209,4.6377
6.07828951,5.88331986,-86.363312,0.8521
0.17421493,0.17630956,-97.526207,3.7927
0.67114848,1.01952875,-71.536018,2.1995
0.66799325,0.77856326,-81.537628,2.2248
0.02081868,0.02527587,-65.881233,4.0347
0.05875718,0.09561697,-92.391388,3.6763
8.03157465,4.4114809,-87.731422,1.0183
1.83865035,1.7450856,-71.279495,1.728
0.14604296,0.15553784,-83.19561,2.537
0.77007741,0.94937295,-68.703598,0.8403
6.01736917,0.00519857,-85.75518,4.9955
0.15144123,0.17688739,-96.643425,2.8925
0.95689529,2.50090742,-61.722378,1.4113
2.43805456,2.5361526,-77.01149,1.2075
8.08590914,2.94321919,-85.836105,1.8327
8.09789313,3.34597993,-75.996422,1.2564
7.7566247,8,-45.568199,0.238
0.06753663,0.05736313,-73.171204,4.1065
0.08819315,0.13484372,-100.13768,3.9686
1.03752828,1.78952611,-66.332825,1.4674
0.06068231,0.06439659,-94.661682,4.3607
8.24534618,6.93630266,-51.970963,1.4747
0.13807242,2.11217856,-60.058899,1.9885
8.2301488,8,-49.678818,0.5094
0.00268244,8,-2.122644,0.3123
9.46486273,8,-30.490427,0.3381
0.04547368,0.04096874,-89.369545,4.9033
0.86962706,1.96381629,-56.016582,1.4788
0.07805657,0.68667942,-58.919006,2.1718
0.07212979,0.06207898,-74.447136,4.1385
0.05071158,0.07372461,-88.229019,3.879
1.80899775,2.20389462,-77.572533,1.5229
1.83521462,2.31053448,-62.604069,1.1762
2.25878882,3.04261136,-65.304024,0.8203
0.15928133,0.1991504,-81.744232,3.6966
0.06418232,0.06473182,-90.590607,4.5191
0.03639627,0.01821918,-94.646919,5.7734
0.05202564,0.06620716,-97.213951,4.441
0.14009915,0.18722978,-70.487534,2.9719
0.15418586,0.1730706,-93.214523,3.6724
0.02746007,8,-35.746609,1.535
8.55144663,4.32372475,-74.244942,1.8013
8.81496227,8,-24.656525,0.424
8.25604658,8,-25.236574,0.416
8.33119495,8,-10.619347,0.1709
7.13953209,8,-26.053333,0.5063
0.04679938,0.04612577,-91.824181,3.905
2.17412615,0.07785797,-80.307159,3.115
0.03966222,0.06853135,-93.742348,3.4812
8.1700264,0.67141891,-114.292236,2.4551
1.23053813,1.2114557,-100.46627,1.2993
0.28546417,0.32066065,-72.315224,2.5565
0.01070318,0.0188492,-84.763107,4.5352
0.96115625,1.14069212,-90.655045,1.8786
1.92296112,2.78251886,-70.463623,1.0695
0.04188681,0.05561214,-76.54248,2.995
0.48706925,0.46305826,-95.635803,2.3722
0.16030262,0.28827825,-71.827988,2.6984
0.02869698,0.01078174,-92.642082,5.5322
0.09588718,0.11163597,-96.551636,3.3299
8.15841514,1.09335613,-86.431038,1.975
1.74302924,1.95142651,-78.831253,1.36
3.23408628,8,-31.302902,0.23
0.8324343,1.64211702,-54.258266,0.2847
0.03806436,0.03864982,-88.051811,4.962
7.1564077,0.05813135,-73.600098,3.5274
0.07619795,0.09933457,-86.316383,3.6838
6.29567958,0.00991583,-77.58474,4.7172
6.0490505,0.00258354,-88.860024,6.0438
0.03033931,0.03286568,-95.637169,4.822
0.81302798,0.98149347,-86.525078,1.9704
0.0735596,0.11075456,-84.571274,3.5414
0.09520503,0.08014669,-91.552238,4.6507
0.15930449,0.17214257,-92.415924,3.4352
0.01729376,0.01549878,-90.052635,5.6305
0.05063281,0.05878419,-97.431076,4.3588
3.17097426,1.64689159,-95.543739,2.145
0.28055874,0.28780922,-95.430588,3.4254
8.98482752,5.12324619,-97.703239,1.35
8.06544243,8,-28.656612,0.219
1.30324733,8,-24.003428,0.2898
0.01568243,0.01493892,-95.075218,5.8824
7.08039953,0.03625605,-77.279572,4.7855
0.0692534,0.08142867,-92.395401,4.33
0.01421028,0.00839659,-78.528137,5.322
0.00259266,0.00359142,-92.575912,6.6415
0.02633743,0.03922041,-93.391624,4.6508
0.39121708,0.33778125,-97.762512,3.1949
8.76775539,3.00291014,-94.450798,1.5286
0.06725459,0.09755316,-93.800865,4.0017
8.12179231,7.05223274,-87.347076,0.8926
0.08780278,0.10652117,-67.358002,2.2298
0.2984162,0.32038984,-94.473137,2.3517
6.89571721,0.18650638,-69.94619,3.2477
0.01017546,0.01550378,-66.540916,3.6134
0.04327288,0.04848709,-98.138969,3.7592
0.13551033,0.19277506,-97.452309,2.9514
8.51418065,3.06089473,-67.375679,1.3007
0.04754045,0.05081294,-80.084961,4.3652
0.01263854,0.06491704,-78.053162,2.9688
0.01783348,0.01597572,-77.538315,4.8714
0.00306001,0.00549298,-85.662239,5.8697
0.0220935,0.02475176,-97.056862,5.1316
0.04970722,0.05771403,-93.046417,4.7006
0.0646121,0.1093245,-90.318291,2.8655
0.81880224,0.9270916,-82.721092,2.2255
0.04692368,0.0552978,-81.909348,3.9558
0.06318714,0.22580543,-65.677582,2.9671
0.04116351,0.03416922,-70.487022,4.7138
0.07629988,0.12005324,-89.546951,3.6605
0.01642871,0.04162853,-85.674416,4.2077
2.24849558,2.46482635,-71.079735,1.7576
1.22239423,1.54819405,-78.110222,1.7119
5.7788825,8,-23.131405,0.3129
4.17763472,2.99392819,-70.771477,1.3222
0.00965258,0.01579805,-58.842438,3.8372
0.09103894,0.09811072,-98.048409,3.9544
4.43158102,3.08885813,-79.251312,1.4503
0.04701321,0.04590029,-83.344223,4.6127
1.57859612,8,-28.803268,0.3446
3.61901522,8,-27.584616,0.2926
0.15928479,8,-16.014204,0.3101
0.06678662,0.06849767,-77.109787,4.141
0.03301526,0.04747221,-66.379295,3.5422
0.02796657,0.02421284,-75.942574,5.1654
0.05283957,0.05757766,-104.725937,4.3976
0.18316171,0.23174086,-96.16597,3.6728
0.15864524,8,-14.744283,0.4307
0.11086772,0.14058878,-69.706238,3.1215
0.52322441,0.58942998,-95.674896,2.646
0.01200634,0.01130726,-87.388702,5.3868
0.06236314,0.06598885,-97.851303,4.4823
8.75978966,4.31967497,-91.437683,1.8519
8.48091537,2.20531702,-70.316551,2.2859
0.23990145,0.29341176,-69.010696,2.6201
0.19061892,0.22140196,-80.694923,3.0324
0.05527554,0.66525883,-56.938728,2.2362
0.00869495,0.01010125,-61.16473,4.1891
0.07657497,0.11888967,-93.67157,3.5354
0.07400006,0.13332364,-77.049927,3.209
8.34531646,4.89279795,-83.498329,1.2973
3.21938729,3.49153853,-67.207542,1.3744
0.13349822,8,-4.977474,0.0846
8.95231638,8,-22.351349,0.2713
0.03809711,0.06266729,-67.24527,2.8038
0.15476124,0.20241359,-83.947975,2.9392
0.59461188,0.92136991,-53.719048,1.2931
8.02039003,6.7370863,-75.705666,0.7047
8.03563531,8,-19.8881,0.0373
0.38269061,0.45465624,-83.426498,2.5547
5.86544183,0.00852356,-88.435852,5.2309
0.09230378,0.09215451,-100.727737,4.1072
0.06056523,0.06272797,-93.096886,4.3655
8.43059665,8,-24.167871,0.1771
0.09751115,0.09729275,-95.034386,4.1261
0.02781471,0.02889228,-96.08033,5.0054
0.0144456,0.01335807,-96.279129,5.489
0.09077923,0.09350494,-96.594154,4.0199
0.07475077,0.07750475,-99.100204,4.3541
1.79129601,1.82310045,-96.078011,1.7536
7.4525156,8,-25.316376,0.1102
2.74696302,8,-16.204542,0.0866
0.27610511,0.55270296,-66.624619,2.0782
0.11291152,0.12210101,-93.242195,3.4227
7.49265586,0.16878817,-84.416138,3.014
0.03978804,0.29796761,-81.232841,3.2842
0.14341217,0.15694672,-98.137688,3.1656
0.05174321,0.05547818,-87.314827,3.5594
0.58629096,0.65243584,-84.629967,2.3478
8.49554872,8,-24.112768,0.1841
3.63213611,8,-28.435585,0.2423
7.96582174,7.36535597,-55.700954,0.2108
0.07283717,0.11760903,-79.3927,4.1173
0.02766348,0.02643993,-95.74379,5.546
30,0.00254717,-86.216347,6.7813
0.01170756,0.01158702,-96.292221,6.3157
0.02421177,0.03070632,-98.955147,5.4439
8.09292854,6.75065804,-95.781921,1.2041
8.01622016,6.81913519,-89.269897,0.9553
3.43468809,3.60911465,-91.379471,1.2434
0.10759804,0.11558864,-94.849953,4.2453
0.0069603,0.00851492,-94.905426,6.1489
0.10349003,0.11483645,-98.68821,4.0341
0.22568177,0.24027066,-86.838203,3.7258
0.54021394,0.62076706,-89.725708,3.6068
0.04485874,0.05829947,-95.775215,4.9707
0.00456452,0.00450234,-96.369926,6.9533
0.00665398,0.01359698,-98.813438,5.8489
0.05579155,0.05818048,-96.906357,5.315
3.40755749,2.31096053,-97.712944,2.5702
4.50303841,2.38116074,-95.831223,1.9076
1.09161878,8,-28.295166,1.0076
8.59658816,4.88063669,-89.95858,1.3882
8.63384192,5.03662729,-84.974762,1.2882
8.65279307,5.04196835,-66.31308,1.4978
6.39161539,3.2635386,-79.817047,1.5231
0.00346188,0.00311168,-98.150177,7.2354
0.01508657,0.0180795,-93.948456,5.3984
0.09350163,0.10702965,-94.615997,4.0743
0.23221543,0.27648526,-95.624779,3.1957
7.43280029,6.15767717,-94.35453,1.2785
0.18789941,0.24354453,-62.451622,2.4711
0.10910317,0.1147289,-96.31102,3.8365
1.39274025,3.90894318,-57.878433,1.1501
0.53511852,0.52991366,-95.518616,3.0704
0.10854068,0.12330926,-78.015633,4.1275
0.20077789,0.29362819,-86.066299,3.2487
0.01006654,0.02295878,-69.195404,4.5905
0.04720529,0.04827156,-96.158417,4.9539
2.50247264,3.16795731,-73.729317,1.9154
0.23767,8,-13.978923,0.4788
8.55442444,8,-39.859646,0.6781
9.08050241,8,-25.265465,0.5213
0.11973575,0.25648075,-56.242828,2.7511
0.03305847,0.04794786,-63.481594,3.9497
0.08475526,0.12025812,-84.021111,3.2683
0.96800745,3.78526092,-50.351799,1.3696
0.72503322,1.24612951,-65.504578,2.2119
0.01301991,0.14104521,-66.173851,3.1786
0.45428282,0.34567094,-100.846298,3.1566
3.46148706,6.33207083,-51.818092,0.4371
0.00936986,0.01084603,-69.248039,4.3906
0.03450824,0.02961304,-99.259987,5.0138
1.82444179,6.14237213,-52.995491,0.8191
8.02194584,6.58544159,-65.075806,0.5617
2.36032653,8,-22.14266,0.146
0.16512592,0.18347709,-76.777344,3.0328
0.09780139,0.16213965,-90.502831,3.2483
0.00374754,0.00351323,-89.227684,6.5055
0.07541131,0.07592098,-97.501808,4.0829
0.62567592,0.77653265,-89.698204,2.1373
1.30075002,0.96733326,-94.437042,3.0781
8.70410325,7.80798435,-51.734505,0.4963
5.61947617,0.00715142,-72.937309,5
0.133476,0.14582846,-94.539581,3.7899
0.0418415,1.68885744,-55.958332,2.0534
1.04567957,0.85342044,-92.050514,2.3703
0.11951659,0.4945876,-79.913643,2.6066
0.03579598,0.04634737,-97.033127,4.5124
0.2289646,0.45912713,-80.889374,3.0826
8.00846385,5.71829748,-80.890701,1.1636
2.33927083,2.22334528,-95.592728,1.8192
9.20113562,8,-34.961853,0.4078
1.67397475,1.96294165,-70.419044,1.5499
0.73750228,1.14077973,-68.797134,1.6665
2.4218514,2.69932485,-67.808151,1.808
0.18759753,0.20375821,-99.9636,3.3569
1.27958262,2.14122176,-64.381165,1.3044
2.42018724,2.88946056,-69.167328,1.1332
2.25353313,8,-22.844702,0.2108
8.88557531,8,-19.247707,0.1797
9.39894877,8,-25.420696,0.2176
0.79481375,0.85538918,-89.066666,2.0606
0.03212693,0.01088609,-78.953964,4.9445
0.20627679,0.22145638,-96.817802,3.1265
8.37353608,7.4592948,-65.490532,0.6721
2.46524715,8,-48.822021,0.8919
0.4979938,0.5473209,-83.100472,2.5308
7.74420277,1.22628498,-61.639488,2.4054
0.04816212,0.05407386,-95.729401,4.3922
0.67930204,0.54061091,-99.823723,3.618
4.62282896,4.82124567,-87.474266,0.9383
0.00673071,8,-97.559929,6.988
8.72395327,8,-30.742388,0.6213
0.29217872,0.34042752,-91.937668,3.05
6.62591493,0.01585762,-71.928802,4.7368
0.1173726,0.14658085,-91.016602,3.7306
2.6915195,8,-38.431973,1.0149
0.09647612,0.10349359,-70.295494,3.3698
3.71383143,1.86531079,-73.023621,1.8093
0.01852258,0.02068819,-69.268074,4.1905
0.12601155,0.15430507,-98.800049,3.5222
0.44907415,1.67619264,-62.648674,1.5971
8.6020015,2.01946545,-75.599625,1.9735
0.04393419,0.04666959,-85.994377,4.5573
0.0281042,0.07532502,-74.390381,3.7711
0.00509922,0.0059226,-65.825554,4.8994
0.06940588,0.07561718,-91.273155,4.0105
0.11302792,0.15279779,-93.982483,3.6574
1.44632351,1.6185751,-89.002678,1.8226
2.04504848,2.54235482,-78.655754,1.4561
7.58986282,8,-37.821964,0.3243
0.97193408,1.19991696,-65.011116,2.0055
6.86636305,7.23916149,-52.867378,0.943
0.05230463,0.04812422,-90.059906,4.6237
0.11150443,0.09661954,-103.59433,4.3852
8.05960167,5.25670195,-76.400352,1.3273
0.01400778,0.01480163,-88.349693,5.2263
0.03435278,0.03599412,-96.362068,4.804
8.08185991,6.72178698,-93.472443,1.1576
0.7734378,0.73549968,-92.835953,2.3484
0.33844885,0.39034453,-95.283226,2.867
0.14115709,0.17533991,-81.520912,3.6877
0.12769011,0.26240698,-81.725754,2.8611
0.02366408,0.01636847,-82.493393,5.3918
0.02736202,0.02865008,-98.428619,4.751
0.32263854,0.65069425,-77.545227,2.3477
0.1947763,0.60953158,-80.35276,2.4477
0.08183101,0.09958667,-79.342644,4.3291
0.1621978,0.28571239,-83.079201,2.9043
0.00954683,0.00558513,-75.084076,5.5828
0.07362159,0.08087268,-93.237831,4.6055
2.89625049,2.73984861,-73.945801,1.7102
0.57162887,0.5238595,-89.936668,3.1338
8.12275317,3.53416944,-87.973404,1.4006
8.14448904,8,-28.541491,0.301
0.24533793,0.27879262,-76.698441,3.6265
1.13992357,1.51800251,-79.46125,2.0173
0.02082523,0.0181148,-90.417816,5.7321
0.13158952,0.13646078,-95.947197,3.9169
0.50952768,0.67026472,-86.344131,2.4101
1.79431355,1.18739307,-96.955109,2.5829
8.51359166,8,-27.62026,0.3269
6.20236158,8,-23.57132,0.4692
8.31940174,8,-15.00188,0.1502
8.20480323,8,-25.189182,0.2154
7.97487879,8,-28.913033,0.2797
3.34441447,8,-31.248629,0.4755
0.0850836,0.11710604,-58.217384,2.3103
0.22549167,0.3009809,-87.768372,2.4994
0.40484944,0.45452356,-86.161072,2.6683
0.02734444,0.01374758,-87.030846,5.0501
0.10645747,0.14139231,-96.34922,3.3944
0.13348299,0.24052918,-65.312096,1.9759
1.21975291,1.74792945,-74.255577,0.7958
0.44061795,0.61032802,-83.558685,2.0795
0.25051105,0.23703353,-95.795746,3.3319
0.0344702,0.02485349,-83.923225,4.8643
0.00762508,0.02270171,-98.495956,5.1937
0.40508407,0.38335019,-98.333656,3.3946
0.19280706,0.29813245,-84.064453,2.8988
0.03366822,8,-28.559263,1.1063
8.50740441,0.85026676,-96.363205,2.7443
2.0622921,1.90273154,-91.507469,1.827
8.52748413,8,-29.408504,0.5364
2.56625652,8,-28.015148,0.5904
9.2010568,8,-33.389778,0.2392
0.94269723,0.99330938,-80.947876,2.6195
5.0110426,0.43227536,-87.75576,3.4138
0.01050865,0.05223197,-100.44339,4.3873
0.52629155,0.63713324,-84.262482,2.942
1.01974893,1.29999971,-80.752892,1.9651
6.47553982,0.0060104,-83.341858,5.864
0.01117621,0.01285715,-95.974701,5.6735
0.09407197,0.13066545,-88.179947,3.8043
2.56974959,2.90852094,-83.3703,1.2322
1.75069475,2.06911254,-83.738167,1.5215
8.40848858,8,-18.64641,0.1598
0.1453684,0.1515169,-94.090103,3.6462
0.00681655,0.00531926,-84.286247,5.9311
0.02289373,0.02238038,-95.620056,5.538
0.81881994,0.89367098,-77.488571,2.2338
0.04013025,0.04950314,-88.928391,4.1463
0.12930058,0.20324552,-71.864021,3.1582
0.03643913,0.05674262,-70.712906,3.5526
6.18332753,0.00766751,-82.90583,5.2472
0.01608768,0.01754217,-94.472313,5.2683
0.20904554,0.24845709,-86.44268,3.1954
0.29443425,0.38524523,-73.481934,2.5368
3.5624404,3.05638409,-79.545403,1.356
8.77201568,8,-28.642334,0.2845
0.0964476,0.11627251,-76.574593,3.3913
1.2403965,2.36995745,-57.966747,1.2505
0.00478392,0.00571023,-92.764847,6.3364
0.08143727,0.08326793,-98.494957,4.3589
0.06342217,0.18594281,-69.316811,2.9091
2.74258304,1.54415619,-87.25602,2.4981
0.00318373,8,-24.047287,1.3523
0.04672672,8,-40.365448,2.1132
5.00708818,2.6669693,-90.740364,1.9241
4.33167839,4.77796602,-77.467239,0.9437
8.63063486,8,-20.539227,0.1733
2.6580143,8,-33.246059,0.5493
4.0232501,8,-38.852993,0.5101
2.62004018,8,-28.889307,0.5401
8.02441863,8,-41.412575,0.3525
0.02172719,0.02685253,-66.087791,4.0054
0.02106771,0.01914952,-77.625931,4.9906
0.06668095,0.07404468,-100.781296,4.3314
0.06851898,0.09915924,-85.146713,3.7728
2.08558822,1.96417844,-102.190697,1.921
7.3910594,1.9707067,-97.724823,2.4285
5.73222542,1.42946458,-93.825523,2.0888
8.21994599,4.93469095,-80.743683,1.3051
8.26981685,6.10896635,-58.449909,1.0515
0.03337744,0.21053881,-54.875633,1.6628
0.07488713,0.16886857,-67.691116,2.9562
0.22910132,0.16943243,-95.080299,3.1361
0.01196305,0.01343916,-70.867424,4.2166
0.02742044,0.03442898,-98.108643,4.3233
0.35333082,0.36630365,-96.185318,2.5007
0.02430888,8,-80.121002,4.9196
9.16239752,3.74086523,-94.14222,1.3453
0.29692268,0.52340096,-84.694633,3.0013
8.39324697,3.8423233,-83.385147,0.8215
5.16790819,8,-26.890471,0.2502
6.61850309,8,-13.142727,0.0346
6.74683237,8,-38.807537,0.273
8.1978295,8,-25.122776,0.2841
7.40467644,5.7492137,-96.763481,0.9608
3.04937744,2.3180716,-81.392197,1.848
0.0244014,0.02650133,-68.651741,4.1256
0.05987443,0.06900461,-95.318359,4.2725
1.62074268,5.09843636,-52.55817,1.2612
7.76108742,5.62861729,-79.916954,1.5222
8.38579096,7.20543337,-62.673821,0.6211
7.0846715,8,-35.08696,0.3232
